,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day,beh_score,acc_score,threat_score,legal_score,will_score,Nonawareness_score
51,98045,2,,3,5,5,2,3,4,2,4,4,3,2,1,2,3,2,1,1,1,2,2,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,4,4,3,4,4,4,3,2,2,2,1,2,2,1,1,1,1,1,1,2,1,75,4,3,2,2,1,3.0,0.767491992,,,,,2018,6,17,4,3,17,8.0,2,58.0
52,98033,2,,3,3,3,5,5,3,2,3,4,4,2,2,1,3,2,1,2,1,2,1,2,1.0,2,2,2,1,2,1.0,1,1,1,2.0,2,2,2,4,2,2,3,3,2,2,1,2,1,2,1,2,2,2,1,1,2,1,25,1,3,2,3,1,2.0,0.533364477,,,,,2018,6,17,6,4,17,12.0,10,99.0
53,98034,1,1.0,4,3,3,3,3,3,1,3,3,3,3,2,1,3,2,1,1,1,1,2,1,1.0,2,2,1,1,2,1.0,1,1,1,1.0,1,4,4,2,4,4,4,4,2,2,1,1,1,1,1,2,1,1,1,1,2,2,45,2,3,3,2,1,2.0,0.765719225,,,,,2018,6,17,7,7,17,16.0,2,92.0
54,98115,2,,5,5,5,2,5,3,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,1,1.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,74,4,3,1,1,1,2.0,0.769112058,,,,,2018,6,17,0,3,10,9.0,0,40.0
55,98105,2,,3,4,3,5,1,2,1,3,4,3,3,2,2,3,2,1,1,1,3,2,2,1.0,1,1,2,1,2,1.0,2,2,1,1.0,2,2,3,2,3,3,4,3,1,1,1,1,1,1,1,2,2,2,1,1,2,2,25,1,3,4,2,1,1.0,0.527640133,,,,,2018,6,17,9,7,20,13.0,8,108.0
56,98125,1,1.0,1,2,5,1,2,3,1,3,3,1,2,2,1,2,1,1,1,1,4,1,2,1.0,2,2,2,1,1,1.0,1,1,1,1.0,2,2,2,1,2,3,4,4,2,2,2,2,2,1,1,2,2,2,2,1,2,2,29,1,3,1,3,1,1.0,0.521126057,,,,,2018,6,17,10,9,16,14.0,10,117.0
57,98011,1,1.0,1,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,1,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,2,1,1,2,2,59,3,3,1,1,1,2.0,0.576568044,,,,,2018,6,17,4,1,11,9.0,0,47.0
58,98031,2,,5,5,5,5,5,4,4,4,4,4,1,1,2,2,1,1,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,2,1.0,1,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,62,3,4,2,1,1,2.0,1.183395563,,,,,2018,6,17,0,0,12,9.0,0,39.0
59,98003,2,,5,5,5,5,5,4,2,4,4,3,2,1,2,3,2,2,2,1,1,2,2,1.0,2,2,2,1,2,2.0,1,1,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,57,3,3,3,5,1,2.0,1.751599122,,,,,2018,6,17,0,3,18,11.0,0,54.0
60,98072,2,,2,3,5,2,3,3,2,3,3,3,2,2,1,3,1,1,1,1,1,2,2,1.0,2,2,2,2,2,1.0,2,2,2,2.0,2,4,2,3,4,4,3,3,2,2,1,2,1,1,2,2,2,1,1,1,2,2,32,1,3,3,3,1,2.0,0.521126057,,,,,2018,6,17,7,6,15,8.0,5,74.0
61,98115,1,1.0,5,5,5,5,5,3,1,3,4,3,2,2,1,2,1,1,1,1,2,2,2,1.0,2,2,2,1,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,1,2,1,1,2,2,49,2,3,2,2,1,1.0,0.765719225,,,,,2018,6,17,0,6,15,10.0,0,51.0
62,98001,1,1.0,5,5,5,2,5,3,2,3,3,3,2,1,1,2,1,2,1,1,1,1,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,55,3,8,3,3,1,2.0,3.972094259,,,,,2018,6,17,0,6,13,9.0,0,46.0
63,98115,1,6.0,3,3,3,3,5,3,3,3,3,2,2,1,1,2,1,1,1,1,2,2,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,38,2,5,3,2,1,1.0,0.498098705,,,,,2018,6,17,6,6,14,9.0,7,80.0
64,98010,2,,5,5,5,5,5,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,2,2.0,2,2,2,2,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,2,72,4,3,2,1,1,2.0,0.769112058,,,,,2018,6,17,0,1,11,6.0,0,30.0
65,98042,2,,4,5,5,2,5,4,1,4,4,4,1,1,2,2,2,1,1,1,2,1,2,1.0,2,2,2,1,2,2.0,1,2,1,1.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,47,2,3,4,2,1,2.0,0.765719225,,,,,2018,6,17,1,3,14,11.0,0,52.0
66,98052,1,1.0,5,5,3,5,5,3,2,3,4,4,2,1,2,3,1,1,1,2,1,2,2,1.0,1,2,2,1,2,2.0,2,2,1,1.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,57,3,3,3,3,1,1.0,0.607542766,,,,,2018,6,17,2,4,16,11.0,0,57.0
67,98019,2,,5,5,5,5,5,4,2,4,4,4,2,1,1,2,1,1,1,1,1,2,2,1.0,2,2,2,1,2,1.0,1,1,1,1.0,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,1,2,1,1,2,2,55,3,3,2,5,1,3.0,1.751599122,,,,,2018,6,17,0,2,13,13.0,0,54.0
68,98056,2,,5,5,5,5,5,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,1,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,38,2,3,2,2,1,1.0,0.617983378,,,,,2018,6,17,0,2,10,10.0,0,42.0
69,98117,1,1.0,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,1,1,1,2,2,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,2,1,1,1,2,2,21,1,3,2,4,1,1.0,2.456195776,,,,,2018,6,17,8,6,18,8.0,7,85.0
70,98058,2,,5,5,4,1,3,3,1,4,4,2,2,1,1,3,2,1,1,1,2,3,2,1.0,2,1,2,1,2,2.0,1,2,1,1.0,2,4,3,2,4,3,3,4,2,2,2,1,2,2,1,2,2,2,1,1,2,2,45,2,3,3,2,1,2.0,0.765719225,,,,,2018,6,17,3,6,17,12.0,5,80.0
71,98011,1,1.0,1,1,1,1,1,3,3,3,3,3,1,1,1,3,1,1,1,1,2,2,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,2,2,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1,1,2,2,25,1,3,1,4,1,3.0,1.302815143,,,,,2018,6,17,16,5,14,8.0,6,93.0
72,98058,1,1.0,3,3,3,3,3,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,2,2.0,2,2,2,2,2,2.0,2,2,2,2.0,2,4,4,3,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,45,2,3,2,1,1,2.0,0.746812577,,,,,2018,6,17,8,0,11,6.0,2,51.0
73,98033,1,1.0,5,5,3,5,5,2,1,4,4,4,3,1,1,2,1,1,1,1,3,1,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,2,4,4,2,4,3,4,2,2,1,1,1,1,1,2,2,1,2,2,2,2,23,1,3,3,1,1,2.0,0.970197332,,,,,2018,6,17,2,5,15,8.0,5,63.0
74,98198,2,,5,5,5,5,5,2,2,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1.0,1,1,2,1,1,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,57,3,3,2,1,1,2.0,0.576568044,,,,,2018,6,17,0,4,13,13.0,0,56.0
