zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,year,month,day,latitude,longitutde
98031,2,,Never,Never,Never,Never,Never,Completely Unacceptable,Somewhat Acceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Illegal,Legal,Illegal,Not Sure,Not Sure,Legal,Not Sure,Not Sure,Legal,Legal,Legal,Not Sure,Not Sure,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Female,35,2,Hispanic,Some College,< $40K,Yes,Suburban,1.963444349,2018,6,17,47.405479,-122.195772
98003,2,,Never,Never,Never,Never,Never,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Illegal,Illegal,Legal,Illegal,Illegal,Not Sure,Illegal,Not Sure,Illegal,Illegal,Legal,Illegal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Female,62,3,White,Some College,$40K - $80K,Yes,Suburban,0.591164704,2018,6,17,47.304801,-122.316969
98144,2,,Never,Never,Never,Never,Never,Somewhat Unacceptable,Completely Accptable,Completely Unacceptable,Completely Unacceptable,Somewhat Unacceptable,Not a Threat,Very Serious Threat,Threat,Not a Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Illegal,Legal,Illegal,Not Sure,Illegal,Not Sure,Not Sure,Not Sure,Illegal,Illegal,Legal,Not Sure,Not Sure,Very Unlikely,Very Unlikely,Somewhat Likely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Female,29,1,White,Associate's / Bachelor's,< $40K,No,Urban,0.514611982,2018,6,17,47.585627,-122.29196
98011,1,3.0,Rarely,Rarely,Never,Fairly Often,Rarely,Somewhat Unacceptable,Somewhat Acceptable,Completely Unacceptable,Completely Unacceptable,Somewhat Unacceptable,Threat,Very Serious Threat,Very Serious Threat,Not Sure,Threat,Very Serious Threat,Very Serious Threat,Threat,Threat,Threat,Illegal,Legal,Illegal,Illegal,Illegal,Not Sure,Illegal,Not Sure,Illegal,Illegal,Legal,Illegal,Illegal,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Female,32,1,White,Some College,$80K - $120K,Yes,Rural,0.521126057,2018,6,17,47.753344,-122.201952
98101,1,1.0,Regularly,Regularly,Regularly,Regularly,Regularly,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Acceptable,Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Not a Threat,Not Sure,Legal,Illegal,Not Sure,Legal,Not Sure,Not Sure,Legal,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Somewhat Unlikely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Male,33,1,White,Master's Or Higher,> $160K,Yes,Urban,1.600093432,2018,6,17,47.610902,-122.336422
98155,1,3.0,Never,Never,Never,Never,Never,Completely Unacceptable,Somewhat Acceptable,Completely Unacceptable,Completely Unacceptable,Somewhat Acceptable,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Not a Threat,Illegal,Legal,Legal,Illegal,Illegal,Not Sure,Illegal,Illegal,Illegal,Illegal,Legal,Not Sure,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Male,51,3,White,High School,$120 - $160K,Yes,Suburban,1.528801439,2018,6,17,47.754413,-122.300477
98104,3,,Never,Never,Never,Fairly Often,Never,Completely Unacceptable,Completely Accptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Not Sure,Very Serious Threat,Not a Threat,Not a Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Threat,Illegal,Legal,Illegal,Illegal,Illegal,Not Sure,Not Sure,Legal,Illegal,Illegal,Legal,Illegal,Illegal,Very Unlikely,Very Unlikely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Male,38,2,Black,High School,< $40K,Not Sure,Urban,0.908284711,2018,6,17,47.601884,-122.329459
98007,1,1.0,Regularly,Never,Never,Never,Just Once,Somewhat Unacceptable,Completely Accptable,Somewhat Acceptable,Completely Unacceptable,Somewhat Acceptable,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Not a Threat,Not Sure,Legal,Not Sure,Not Sure,Legal,Legal,Not Sure,Legal,Legal,Not Sure,Legal,Not Sure,Not Sure,Somewhat Likely,Very Unlikely,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Male,31,1,White,Master's Or Higher,$80K - $120K,Yes,Suburban,0.533364477,2018,6,17,47.613825,-122.144365
98003,1,1.0,Not Sure,Rarely,Never,Never,Never,Completely Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Completely Unacceptable,Completely Unacceptable,Threat,Threat,Very Serious Threat,Not a Threat,Threat,Very Serious Threat,Very Serious Threat,Threat,Threat,Not Sure,Not Sure,Legal,Not Sure,Legal,Legal,Legal,Not Sure,Legal,Legal,Legal,Not Sure,Not Sure,Illegal,Very Unlikely,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Female,19,1,Black,Some College,$120 - $160K,No,Suburban,0.742724986,2018,6,17,47.304801,-122.316969
98168,2,,Never,Never,Never,Never,Never,Completely Unacceptable,Somewhat Acceptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Not a Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Illegal,Not Sure,Illegal,Illegal,Illegal,Illegal,Illegal,Illegal,Illegal,Illegal,Not Sure,Illegal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Female,73,4,White,Associate's / Bachelor's,$40K - $80K,Yes,Suburban,0.788583249,2018,6,17,47.489569,-122.29996
98391,1,1.0,Never,Never,Just Once,Rarely,Never,Somewhat Unacceptable,Completely Accptable,Somewhat Unacceptable,Completely Unacceptable,Somewhat Unacceptable,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Illegal,Legal,Illegal,Not Sure,Legal,Legal,Not Sure,Legal,Not Sure,Not Sure,Legal,Legal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Male,42,2,White,Master's Or Higher,$40K - $80K,Yes,Suburban,0.695852517,2018,6,17,47.177102,-122.166177
98102,1,1.0,Fairly Often,Fairly Often,Fairly Often,Never,Regularly,Somewhat Acceptable,Completely Unacceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Acceptable,Not a Threat,Threat,Not a Threat,Not a Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Not a Threat,Illegal,Illegal,Illegal,Illegal,Illegal,Legal,Illegal,Illegal,Illegal,Illegal,Illegal,Illegal,Illegal,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Female,37,2,White,Master's Or Higher,$40K - $80K,Yes,Urban,0.617983378,2018,6,17,47.63714,-122.321891
98034,2,,Never,Never,Never,Never,Never,Completely Unacceptable,Somewhat Acceptable,Completely Unacceptable,Completely Unacceptable,Not Sure,Threat,Very Serious Threat,Very Serious Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Legal,Legal,Illegal,Not Sure,Illegal,Legal,Not Sure,Not Sure,Not Sure,Not Sure,Legal,Not Sure,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Female,67,4,White,Associate's / Bachelor's,$80K - $120K,Yes,Suburban,0.778847653,2018,6,17,47.715769,-122.213748
98134,2,,Just Once,Fairly Often,Never,Fairly Often,Never,Completely Unacceptable,Completely Accptable,Somewhat Unacceptable,Completely Unacceptable,Somewhat Unacceptable,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Legal,Legal,Illegal,Illegal,Illegal,Legal,Illegal,Legal,Illegal,Illegal,Legal,Legal,Illegal,Very Unlikely,Very Unlikely,Very Likely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Female,29,1,Hispanic,High School,$40K - $80K,Yes,Suburban,0.838384123,2018,6,17,47.578096,-122.33786
98121,1,4.0,Never,Never,Just Once,Never,Never,Somewhat Unacceptable,Somewhat Acceptable,Completely Unacceptable,Completely Unacceptable,Somewhat Unacceptable,Threat,Very Serious Threat,Threat,Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Threat,Not Sure,Legal,Legal,Legal,Legal,Legal,Legal,Not Sure,Legal,Legal,Legal,Legal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Male,41,2,Hispanic,Associate's / Bachelor's,$40K - $80K,Yes,Urban,1.947407315,2018,6,17,47.615192,-122.350581
98055,1,1.0,Never,Never,Never,Fairly Often,Never,Completely Unacceptable,Completely Accptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Threat,Threat,Threat,Not a Threat,Not a Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Not Sure,Legal,Legal,Illegal,Illegal,Not Sure,Legal,Legal,Legal,Legal,Legal,Legal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Female,34,1,White,Associate's / Bachelor's,< $40K,Yes,Urban,0.514611982,2018,6,17,47.446982,-122.201521
98058,1,1.0,Never,Never,Never,Rarely,Never,Completely Unacceptable,Completely Accptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Not a Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Not Sure,Legal,Illegal,Illegal,Not Sure,Not Sure,Illegal,Not Sure,Illegal,Illegal,Legal,Not Sure,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Female,58,3,White,High School,$40K - $80K,Yes,Rural,0.591164704,2018,6,17,47.442737,-122.123973
98188,1,1.0,Never,Never,Never,Regularly,Never,Somewhat Unacceptable,Completely Accptable,Completely Unacceptable,Completely Unacceptable,Completely Unacceptable,Not a Threat,Very Serious Threat,Very Serious Threat,Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Very Serious Threat,Threat,Illegal,Legal,Illegal,Legal,Illegal,Legal,Illegal,Legal,Illegal,Illegal,Legal,Illegal,Illegal,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Male,48,2,White,Associate's / Bachelor's,$40K - $80K,Yes,Suburban,0.619164583,2018,6,17,47.446413,-122.272098
